Be cool.	Entspann dich!
The man stood up.	Der Mann stand auf.
There's no water.	Es gibt kein Wasser.
They call me Tom.	Man nennt mich Tom.
They'll find Tom.	Sie werden Tom finden.
They're after us.	Sie verfolgen uns.
They're drenched.	Sie sind klatschnass.
Think about that.	Denk darüber nach.
This is Room 839.	Das ist Zimmer 839.
This isn't cheap.	Das ist nicht billig.
This one is ours.	Dieser hier ist unserer.
Tom became quiet.	Tom wurde still.
Tom bought a car.	Tom hat ein Auto gekauft.
Tom called again.	Tom rief wieder an.
Tom can run fast.	Tom kann schnell laufen.
Tom could refuse.	Tom konnte ablehnen.
Tom didn't sleep.	Tom hat nicht geschlafen.
Tom didn't speak.	Tom sprach nicht.
Tom fed the pigs.	Tom hat die Schweine gefüttert.
Tom felt trapped.	Tom fühlte sich gefangen.
Tom forgives you.	Tom vergibt dir.
Tom fried an egg.	Tom briet ein Ei.
Tom has finished.	Tom ist fertig.
Tom has gone mad.	Tom hat den Verstand verloren.
Tom hurried away.	Tom eilte davon.
Tom hurt himself.	Tom hat sich weh getan.
Tom impressed me.	Tom hat mich beeindruckt.
Tom is a yes-man.	Tom sagt immer ja.
Tom is from here.	Tom ist von hier.
Tom is in prison.	Tom sitzt im Gefängnis.
Tom is intrigued.	Tom ist fasziniert.
Tom is legendary.	Tom ist legendär.
Tom is overjoyed.	Tom ist überglücklich.
Tom is resigning.	Tom tritt zurück.
Tom is skeptical.	Tom ist skeptisch.
Tom is so strong.	Tom ist so stark.
Tom is uninsured.	Tom ist nicht versichert.
Tom is very wise.	Tom ist sehr weise.
Tom isn't guilty.	Tom ist nicht schuldig.
Tom isn't inside.	Tom ist nicht drinnen.
Tom kept focused.	Tom blieb konzentriert.
Tom kept packing.	Tom packte weiter.
Tom kept sighing.	Tom seufzte vor sich hin.
Tom likes to run.	Tom läuft gerne.
Tom lit a candle.	Tom zündete eine Kerze an.
Tom made his bed.	Tom machte sein Bett.
Tom must be rich.	Tom muss reich sein.
Tom said nothing.	Tom sagte nichts.
Tom seems biased.	Tom scheint voreingenommen zu sein.
Tom seems bright.	Tom scheint aufgeweckt zu sein.
Tom stopped here.	Tom blieb hier stehen.
Tom tries harder.	Tom gibt sich mehr Mühe.
Tom walks slowly.	Tom geht langsam.
Tom was confused.	Tom war verwirrt.
Tom was fighting.	Tom kämpfte.
Tom was punished.	Tom wurde bestraft.
Tom wasn't ready.	Tom war nicht bereit.
Tom wears a ring.	Tom hat einen Ring an.
Tom's hesitating.	Tom zögert.
Turn it off, Tom.	Schalt es ab, Tom.
We agree as well.	Wir stimmen ebenfalls zu.
We can't go back.	Wir können nicht zurück.
We don't do that.	So was tun wir nicht.
We don't like it.	Uns gefällt es nicht.
We don't like it.	Wir mögen es nicht.
We kept in touch.	Wir blieben in Kontakt.
We saw her dance.	Wir haben sie tanzen gesehen.
We were stranded.	Wir saßen fest.
We'll notify Tom.	Wir werden Tom benachrichtigen.
We're a bit late.	Wir sind etwas spät dran.
We're sorry, too.	Es tut uns auch leid.
We're taking off.	Wir heben jetzt ab.
We're unemployed.	Wir sind arbeitslos.
Were you invited?	Warst du eingeladen?
Were you jealous?	Waren Sie eifersüchtig?
What a good shot!	Was für ein guter Schuss!
What do you hate?	Was hasst du?
What do you need?	Was brauchst du?
What does Tom do?	Was macht Tom?
What if I say no?	Was, wenn ich nein sage?
What is this for?	Wofür ist das?
Where did you go?	Wohin bist du gegangen?
Where did you go?	Wohin seid ihr gegangen?
Where is my ball?	Wo ist mein Ball?
Where is my beer?	Wo ist mein Bier?
Where's my shirt?	Wo ist mein Hemd?
Which is cheaper?	Welche ist billiger?
Who did you kiss?	Wen hast du geküsst?
Who's not coming?	Wer kommt nicht?
Why are you home?	Warum bist du zu Hause?
Why did you call?	Warum hast du angerufen?
Why is Tom going?	Warum geht Tom?
You can stop now.	Du kannst jetzt aufhören.
You need therapy.	Du brauchst eine Therapie.
You two go ahead.	Geht ihr beiden schon voraus!
You wait and see.	Wart’s nur ab!
You'll need more.	Du wirst mehr brauchen.
You're talkative.	Du bist gesprächig.
You're very ugly.	Du bist eine Vogelscheuche.
Are you a student?	Sind Sie Student?
Are you a tourist?	Bist du Tourist?
Are you impressed?	Bist du beeindruckt?
Aren't you coming?	Kommst du nicht?
Can't you help us?	Kannst du uns nicht helfen?
Cocaine is a drug.	Kokain ist eine Droge.
Come on down here.	Komm hier herunter.
Come on, hurry up.	Komm schon, beeil dich.
Don't be too sure.	Seid euch da nicht zu sicher!
Don't deceive Tom.	Täusche Tom nicht.
Don't deceive him.	Betrüge ihn nicht.
Don't go in there.	Geh da nicht rein!
Don't hurt my son.	Tu meinem Sohn nichts zuleide!
Don't let me down.	Enttäusch mich nicht!
Don't repeat that.	Wiederhol das nicht!
Don't repeat that.	Sagen Sie das nicht noch mal!
Don't you see Tom?	Siehst du Tom nicht?
Earth is a planet.	Die Erde ist ein Planet.
Everyone screamed.	Alle schrien herum.
Give those to Tom.	Gib diese Tom.
Have a great time.	Ich wünsche dir viel Spaß!
He appeared young.	Er sah jung aus.
He became furious.	Er wurde wütend.
He became furious.	Er wurde rasend.
He cannot stop us.	Er kann uns nicht aufhalten.
He died yesterday.	Er ist gestern gestorben.
He got well again.	Er erholte sich wieder.
He has blond hair.	Er hat blonde Haare.
He is trustworthy.	Er ist vertrauenswürdig.
He obviously lied.	Er hat offenbar gelogen.
He told the truth.	Er hat die Wahrheit gesagt.
He twisted my arm.	Er verdrehte meinen Arm.
He was imprisoned.	Er wurde eingesperrt.
He's studying now.	Er studiert gerade.
Here's your lunch.	Hier ist dein Mittagessen.
Here's your lunch.	Hier ist Ihr Mittagessen.
How are you doing?	Wie geht es dir?
How are you today?	Wie geht es Ihnen heute?
How did they know?	Woher wussten sie das?
How does Tom look?	Wie sieht Tom aus?
How heavy are you?	Wie schwer sind Sie?
How was your trip?	Wie war deine Reise?
I already said no.	Ich habe schon Nein gesagt.
I am 18 years old.	Ich bin 18 Jahre alt.
I am all mixed up.	Ich bin ganz durcheinander.
I am good at math.	Ich bin gut in Mathe.
I am weak in math.	Ich bin schlecht in Mathe.
I ate a hamburger.	Ich habe einen Hamburger gegessen.
I bought the book.	Ich habe das Buch gekauft.
I couldn't refuse.	Ich konnte nicht ablehnen.
I couldn't say no.	Ich konnte nicht ablehnen.
I didn't see that.	Das habe ich nicht gesehen.
I didn't stop Tom.	Ich habe Tom nicht aufgehalten.
I don't blame you.	Ich werfe es Ihnen nicht vor.
I don't deny that.	Das streite ich nicht ab.
I drank the water.	Ich habe das Wasser getrunken.
I finally gave up.	Ich habe letztendlich aufgegeben.
I forget her name.	Ich komme gerade nicht auf ihren Namen.
I hate rainy days.	Ich hasse regnerische Tage.
I have a bad cold.	Ich habe eine schlimme Erkältung.
I have black eyes.	Ich habe schwarze Augen.
I have short hair.	Ich habe kurzes Haar.
I have to find it.	Ich muss es finden.
I know Tom is odd.	Ich weiß, dass Tom seltsam ist.
I know how to fly.	Ich weiß, wie man fliegt.
I know you're Tom.	Ich weiß, du bist Tom.
I know your names.	Ich kenne Ihren Vornamen.
I lack confidence.	Es fehlt mir an Selbstvertrauen.
I left right away.	Ich bin sofort gegangen.
I liked this film.	Der Film hat mir gefallen.
I love my new job.	Ich liebe meinen neuen Job.
I made fun of him.	Ich machte mich über ihn lustig.
I may not make it.	Ich werde es vielleicht nicht schaffen.
I need 30 minutes.	Ich brauche dreißig Minuten.
I need a keyboard.	Ich brauche eine Tastatur.
I need many books.	Ich brauche viele Bücher.
I need more money.	Ich brauche mehr Geld.
I need to go home.	Ich muss nach Hause gehen.
I need toothpaste.	Ich brauche Zahnpasta.
I put on my shirt.	Ich zog mir mein Hemd an.
I rushed upstairs.	Ich eilte die Treppe hoch.
I took my hat off.	Ich habe meinen Hut abgenommen.
I tried to scream.	Ich versuchte zu schreien.
I want to see Tom.	Ich will Tom sehen.
I was not pleased.	Ich war unzufrieden.
I would've waited.	Ich hätte gewartet.
I'll go on Sunday.	Ich werde am Sonntag gehen.
I'll go on my own.	Ich gehe alleine.
I'll say it again.	Ich werde es noch einmal sagen.
I'll say it again.	Ich sage es nochmals.
I'm a hairdresser.	Ich bin Frisör.
I'm a little busy.	Ich bin ein bisschen beschäftigt.
I'm first in line.	Ich bin als erste an der Reihe.
I'm happy for you.	Ich freue mich für dich.
I'm not giving up.	Ich gebe nicht auf.
I'm not ready yet.	Ich bin noch nicht fertig.
I'm so overworked.	Ich bin so überarbeitet.
I've been tricked.	Ich bin hereingelegt worden.
Is he kind to you?	Ist er freundlich zu dir?
Is that pure gold?	Ist das reines Gold?
Is the coffee hot?	Ist der Kaffee heiß?
Is this dog Tom's?	Ist das Toms Hund?
Is this your beer?	Ist das dein Bier?
Is this your wine?	Ist das euer Wein?
Is your wife tall?	Ist ihre Frau groß?
Isn't that theirs?	Ist das nicht ihres?
It is sunny today.	Heute ist es sonnig.
It was very small.	Es war sehr klein.
It's just a rumor.	Das ist nur ein Gerücht.
It's just amazing.	Das ist einfach wunderbar!
It's my brother's.	Es gehört meinem Bruder.
It's their choice.	Sie haben die Wahl.
It's unacceptable.	Es ist inakzeptabel.
It's unbelievable.	Da wird doch der Hund in der Pfanne verrückt.
Just do your best.	Tu einfach dein Bestes.
Let's get it done.	Bringen wir es hinter uns.
Let's leave early.	Lass uns früh aufbrechen.
Let's see some ID.	Lassen Sie mal Ihren Personalausweis sehen!
Let's shake hands.	Reichen wir uns die Hände!
Light the candles.	Macht die Kerzen an.
Make something up.	Denk dir was aus.
Mary has big eyes.	Mary hat große Augen.
My father is here.	Mein Vater ist hier.
My house is small.	Mein Haus ist klein.
My shoulders hurt.	Meine Schultern schmerzen.
Nobody called Tom.	Niemand hat Tom angerufen.
Nobody's seen Tom.	Niemand hat Tom gesehen.
Please wrap it up.	Pack sie bitte ein.
Please wrap it up.	Pack ihn bitte ein.
Say it in English.	Sag es auf Englisch.
She didn't answer.	Sie antwortete nicht.
She hates running.	Sie hasst es, zu rennen.
She looked around.	Sie hat sich umgeschaut.
Silence is golden.	Schweigen ist Gold.
Stay with us, Tom.	Bleib bei uns, Tom.
Stealing is wrong.	Stehlen ist unrecht.
Take Tom's advice.	Folge Toms Ratschlag.
Take a break, Tom.	Mach mal Pause, Tom.
Tell your friends.	Geben Sie Ihren Freunden Bescheid.
That girl is Mary.	Dieses Mädchen ist Maria.
That sounded good.	Das klingt gut.
That's Tom's home.	Das ist Toms Zuhause.
That's all I have.	Das ist alles, was ich habe.
That's irrelevant.	Das ist belanglos.
The fire went out.	Das Feuer ging aus.
The news upset me.	Ich war von der Nachricht bestürzt.
The test was easy.	Die Prüfung war leicht.
There is no hurry.	Es gibt keinen Grund zur Eile.
They betrayed Tom.	Sie haben Tom betrogen.
They both blushed.	Sie wurden beide rot.
They spoke French.	Sie sprachen Französisch.
They're cannibals.	Das sind Kannibalen.
This came for you.	Das ist für dich gekommen.
This is a picture.	Das hier ist ein Bild.
This is all on me.	Ich übernehme die Rechnung.
This is my office.	Das ist mein Büro.
Tom became uneasy.	Tom wurde unruhig.
Tom began to move.	Tom setzte sich in Bewegung.
Tom believes that.	Tom glaubt das.
Tom betrayed Mary.	Tom verriet Maria.
Tom called me fat.	Tom hat mich fett genannt.
Tom came to visit.	Tom kam zu Besuch.
Tom can't help it.	Tom kann nichts dafür.
Tom caught a cold.	Tom hat sich erkältet.
Tom chickened out.	Tom hat gekniffen.
Tom cooked dinner.	Tom kochte das Abendessen.
Tom couldn't move.	Tom konnte sich nicht bewegen.
Tom couldn't stop.	Tom konnte nicht aufhören.
Tom didn't answer.	Tom antwortete nicht.
Tom drove all day.	Tom fuhr den ganzen Tag.
Tom drove the car.	Tom saß am Steuer.
Tom gave a speech.	Tom hielt eine Rede.
Tom gave me a hug.	Tom drückte mich.
Tom got sunburned.	Tom bekam einen Sonnenbrand.
Tom has long hair.	Tom hat lange Haare.
Tom has recovered.	Tom hat sich erholt.
Tom hates jogging.	Tom joggt nicht gerne.
Tom hates spiders.	Tom hasst Spinnen.
Tom hurt his knee.	Tom hat sich am Knie verletzt.
Tom insulted Mary.	Tom hat Mary beleidigt.
Tom is a dad, too.	Tom ist auch Vater.
Tom is a salesman.	Tom ist Verkäufer.
Tom is down there.	Tom ist da unten.
Tom is fascinated.	Tom ist fasziniert.
Tom is former FBI.	Tom war beim FBI.
Tom is gregarious.	Tom ist gesellig.
Tom is humiliated.	Tom wird gedemütigt.
Tom is illiterate.	Tom ist Analphabet.
Tom is in the car.	Tom ist im Auto.
Tom is indiscreet.	Tom ist indiskret.
Tom is our oldest.	Tom ist unser Ältester.
Tom is thoughtful.	Tom ist nachdenklich.
Tom is very pious.	Tom ist sehr fromm.
Tom is very sorry.	Tom tut es sehr leid.
Tom likes fishing.	Tom fischt gern.
Tom looked amused.	Tom schaute amüsiert.
Tom looked sleepy.	Tom sah verschlafen aus.
Tom looks anxious.	Tom sieht ängstlich aus.
Tom looks wounded.	Tom sieht verwundet aus.
Tom loved us both.	Tom liebte uns beide.
Tom loves animals.	Tom liebt Tiere.
Tom loves bananas.	Tom liebt Bananen.
Tom loves to sing.	Tom singt sehr gerne.
Tom made a speech.	Tom hielt eine Rede.
Tom made pancakes.	Tom machte Pfannkuchen.
Tom must be wrong.	Tom muss sich irren.
Tom needs a towel.	Tom braucht ein Handtuch.
Tom ran into debt.	Tom machte Schulden.
Tom rented a room.	Tom mietete sich ein Zimmer.
Tom saved the day.	Tom war unsere Rettung.
Tom seemed biased.	Tom schien voreingenommen zu sein.
Tom slept soundly.	Tom schlief fest.
Tom stayed silent.	Tom blieb still.
Tom stepped aside.	Tom trat zur Seite.
Tom turned around.	Tom hat sich umgedreht.
Tom walked inside.	Tom ist hineingegangen.
Tom was born rich.	Tom kam reich auf die Welt.
Tom was concerned.	Tom war bekümmert.
Tom was courteous.	Tom war höflich.
Tom was disgusted.	Tom war angewidert.
Tom was here, too.	Tom war auch hier.
Tom was miserable.	Tom war miserabel.
Tom was mortified.	Tom war gedemütigt.
Tom was mystified.	Tom war verblüfft.
Tom was negligent.	Tom war nachlässig.
Tom was unmarried.	Tom war unverheiratet.
Tom wasn't polite.	Tom war nicht höflich.
Tom will tell you.	Tom wird es dir erzählen.
Tom's car's dirty.	Toms Auto ist dreckig.
Tom's door closed.	Toms Tür schloss sich.
Tomorrow's payday.	Morgen ist Zahltag.
Use acrylic paint.	Benutzen Sie Acrylfarbe.
We got dead drunk.	Wir wurden sturzbetrunken.
We have a problem.	Wir haben ein Problem.
We met at a party.	Wir haben uns auf einer Party kennengelernt.
We met that night.	In der Nacht haben wir uns getroffen.
We need more food.	Wir brauchen mehr zu essen.
We want to see it.	Wir wollen ihn sehen.
We went to Boston.	Wir fuhren nach Boston.
We'll see to that.	Wir werden dafür sorgen.
We're cooperating.	Wir kooperieren.
We've been robbed.	Man hat uns bestohlen!
Were you speeding?	Bist du zu schnell gefahren?
What did you make?	Was habt ihr gemacht?
What is your name?	Wie ist Ihr Name?
What's Tom eating?	Was isst Tom gerade?
What's in the box?	Was ist in der Schachtel?
What's your hobby?	Was ist Ihr Hobby?
When did you sing?	Wann haben Sie gesungen?
Where is the book?	Wo ist das Buch?
Where is your cap?	Wo ist deine Mütze?
Where's my brandy?	Wo ist mein Brandy?
Who can you trust?	Wem kannst du vertrauen?
Who likes insects?	Wer mag Insekten?
Who speaks French?	Wer spricht französisch?
Who wants to know?	Wer will das wissen?
Who would do this?	Wer würde das tun?
Who's responsible?	Wer trägt die Verantwortung?
Whose car is this?	Wessen Auto ist das?
Why am I so tired?	Warum bin ich so müde?
Why are we hiding?	Warum verstecken wir uns?
Will you use this?	Wirst du das verwenden?
You must be crazy.	Du musst wahnsinnig sein.
You never call me.	Du rufst mich nie an.
You never call me.	Ihr ruft mich nie an.
You seem stressed.	Sie scheinen unter Stress zu stehen.
You're a good mom.	Du bist eine gute Mutter.
You're a prisoner.	Sie sind eine Gefangene.
You're home early.	Du kommst früh nach Hause.
You're killing me.	Sie bringen mich noch um!
You're overworked.	Du bist überarbeitet.
You're the expert.	Sie sind der Fachmann.
You're untalented.	Du bist unbegabt.
Your lips are red.	Ihre Lippen sind rot.
A revolt broke out.	Ein Aufstand brach aus.
Am I confusing you?	Verwirre ich dich?
Are you possessive?	Bist du besitzergreifend?
Aren't you curious?	Sind Sie denn gar nicht neugierig?
Bananas are yellow.	Bananen sind gelb.
Both girls laughed.	Die beiden Mädchen lachten.
Can I borrow those?	Kann ich mir die mal ausleihen?
Can you forgive me?	Könnt ihr mir verzeihen?
Could this be love?	Konnte das Liebe sein?
Did I say too much?	Habe ich zu viel gesagt?
Did you invite him?	Habt ihr ihn eingeladen?
Did you poison Tom?	Hast du Tom vergiftet?
Did you take notes?	Hast du Notizen gemacht?
Did you take notes?	Hast du dir Notizen gemacht?
Do I owe you money?	Bin ich euch Geld schuldig?
Do as he tells you.	Mach, was er dir sagt.
Do as he tells you.	Tun Sie, was er Ihnen sagt.
Do you feel better?	Fühlst du dich besser?
Do you have a book?	Hast du ein Buch?
Do you have a plan?	Habt ihr einen Plan?
Do you miss Boston?	Vermisst du Boston?
Do you remember it?	Erinnerst du dich noch daran?
Does Tom live here?	Lebt Tom hier?
Does it taste good?	Schmeckt es gut?
Don't feed the dog.	Gib dem Hund nichts zu fressen.
Don't get paranoid.	Werde nicht paranoid!
Don't give up hope.	Gib die Hoffnung nicht auf.
Don't let him down.	Lass ihn nicht im Stich.
Don't walk so fast.	Geht bitte nicht so schnell!
Everyone was drunk.	Alle waren betrunken.
Everyone's thirsty.	Jeder hat Durst.
Exercise every day.	Üben Sie jeden Tag.
Get out of my life!	Verschwindet aus meinem Leben!
Go and talk to Tom.	Geht und sprecht mit Tom!
Have a good flight.	Guten Flug!
Have you seen this?	Haben Sie das gesehen?
He can hardly walk.	Er kann kaum laufen.
He gave her a book.	Er gab ihr ein Buch.
He has another son.	Er hat noch einen Sohn.
He is sharp-witted.	Er hat einen scharfen Verstand.
He is so heartless.	Er ist so herzlos.
He's a little pale.	Er ist ein bisschen bleich.
Help is on its way.	Hilfe ist unterwegs.
Help is on its way.	Hilfe ist schon im Anmarsch.
Here's one for you.	Hier ist eins für dich.
Here's the address.	Hier ist die Anschrift.
How do we stop Tom?	Wie können wir Tom aufhalten?
How long do I have?	Wie viel Zeit habe ich?
I am probably lost.	Ich habe mich wohl verlaufen.
I broke Tom's nose.	Ich habe Tom die Nase gebrochen.
I come from Boston.	Ich komme aus Boston.
I coughed up blood.	Ich hustete Blut.
I demand the truth.	Ich verlange die Wahrheit.
I didn't feel cold.	Mir war nicht kalt.
I do have a theory.	Ich habe sehr wohl eine Theorie.
I don't understand.	Ich verstehe nicht.
I found your diary.	Ich habe dein Tagebuch gefunden.
I got carried away.	Ich habe mich hinreißen lassen.
I have a fish tank.	Ich hab' ein Aquarium.
I have my passport.	Ich habe meinen Pass.
I have to get that.	Ich muss das haben.
I have what I want.	Ich habe, was ich will.
I know his address.	Ich weiß seine Adresse.
I know who you are.	Ich weiß, wer Sie sind.
I like watching TV.	Ich sehe gern fern.
I lost my car keys.	Ich habe meine Autoschlüssel verloren.
I miss my children.	Ich vermisse meine Kinder.
I need a new shirt.	Ich brauche ein neues Hemd.
I need hand lotion.	Ich brauche Handcreme.
I need your advice.	Ich brauche deinen Rat.
I put my helmet on.	Ich setzte meinen Helm auf.
I ran to my mother.	Ich rannte zu meiner Mutter.
I recently met Tom.	Ich habe Tom neulich getroffen.
